timestamp,event,component,value
2025-09-19 12:15:15,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:15:22,WARNING,EC_Sensor,231.0
2025-09-19 12:15:22,WARNING,PH_Sensor,1.18
2025-09-19 12:15:22,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:15:22,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:15:28,WARNING,EC_Sensor,231.0
2025-09-19 12:15:28,WARNING,PH_Sensor,1.18
2025-09-19 12:15:28,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:15:28,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:15:38,WARNING,EC_Sensor,231.0
2025-09-19 12:15:38,WARNING,PH_Sensor,1.17
2025-09-19 12:15:38,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:15:38,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:15:48,WARNING,EC_Sensor,232.73
2025-09-19 12:15:48,WARNING,PH_Sensor,1.18
2025-09-19 12:15:48,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:15:48,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:15:58,WARNING,EC_Sensor,231.86
2025-09-19 12:15:58,WARNING,PH_Sensor,1.18
2025-09-19 12:15:58,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:15:58,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:16:08,WARNING,EC_Sensor,228.35
2025-09-19 12:16:08,WARNING,PH_Sensor,1.18
2025-09-19 12:16:08,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:08,INFO,Fan,offline
2025-09-19 12:16:08,INFO,Pump,offline
2025-09-19 12:16:08,INFO,FlowRate_Sensor,offline
2025-09-19 12:16:18,WARNING,EC_Sensor,228.35
2025-09-19 12:16:18,WARNING,PH_Sensor,1.19
2025-09-19 12:16:18,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:28,WARNING,EC_Sensor,228.35
2025-09-19 12:16:28,WARNING,PH_Sensor,1.19
2025-09-19 12:16:28,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:33,WARNING,EC_Sensor,228.35
2025-09-19 12:16:33,WARNING,PH_Sensor,1.19
2025-09-19 12:16:33,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:33,WARNING,EC_Sensor,228.35
2025-09-19 12:16:33,WARNING,PH_Sensor,1.19
2025-09-19 12:16:33,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:34,WARNING,EC_Sensor,228.35
2025-09-19 12:16:34,WARNING,PH_Sensor,1.19
2025-09-19 12:16:34,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:34,WARNING,EC_Sensor,228.35
2025-09-19 12:16:34,WARNING,PH_Sensor,1.19
2025-09-19 12:16:34,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:35,WARNING,EC_Sensor,228.35
2025-09-19 12:16:35,WARNING,PH_Sensor,1.19
2025-09-19 12:16:35,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:35,WARNING,EC_Sensor,228.35
2025-09-19 12:16:35,WARNING,PH_Sensor,1.19
2025-09-19 12:16:35,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:37,WARNING,EC_Sensor,228.35
2025-09-19 12:16:37,WARNING,PH_Sensor,1.19
2025-09-19 12:16:37,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:38,WARNING,EC_Sensor,228.35
2025-09-19 12:16:38,WARNING,PH_Sensor,1.2
2025-09-19 12:16:38,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:47,WARNING,EC_Sensor,228.35
2025-09-19 12:16:47,WARNING,PH_Sensor,1.2
2025-09-19 12:16:47,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:48,WARNING,EC_Sensor,228.35
2025-09-19 12:16:48,WARNING,PH_Sensor,1.2
2025-09-19 12:16:48,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:57,WARNING,EC_Sensor,228.35
2025-09-19 12:16:57,WARNING,PH_Sensor,1.2
2025-09-19 12:16:57,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:16:58,WARNING,EC_Sensor,228.35
2025-09-19 12:16:58,WARNING,PH_Sensor,1.21
2025-09-19 12:16:58,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:17:07,WARNING,EC_Sensor,228.35
2025-09-19 12:17:07,WARNING,PH_Sensor,1.2
2025-09-19 12:17:07,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:17:08,WARNING,EC_Sensor,228.35
2025-09-19 12:17:08,WARNING,PH_Sensor,1.2
2025-09-19 12:17:08,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:17:17,WARNING,EC_Sensor,228.35
2025-09-19 12:17:17,WARNING,PH_Sensor,1.21
2025-09-19 12:17:17,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:17:18,WARNING,EC_Sensor,228.35
2025-09-19 12:17:18,WARNING,PH_Sensor,1.21
2025-09-19 12:17:18,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:17:28,WARNING,EC_Sensor,228.35
2025-09-19 12:17:28,WARNING,PH_Sensor,1.21
2025-09-19 12:17:28,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:17:33,WARNING,EC_Sensor,228.35
2025-09-19 12:17:33,WARNING,PH_Sensor,1.2
2025-09-19 12:17:33,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:17:38,WARNING,EC_Sensor,228.35
2025-09-19 12:17:38,WARNING,PH_Sensor,1.21
2025-09-19 12:17:41,WARNING,EC_Sensor,228.35
2025-09-19 12:17:41,WARNING,PH_Sensor,1.21
2025-09-19 12:17:48,WARNING,EC_Sensor,228.35
2025-09-19 12:17:48,WARNING,PH_Sensor,1.21
2025-09-19 12:17:55,WARNING,EC_Sensor,228.35
2025-09-19 12:17:55,WARNING,PH_Sensor,1.21
2025-09-19 12:17:59,WARNING,EC_Sensor,228.35
2025-09-19 12:17:59,WARNING,PH_Sensor,1.21
2025-09-19 12:17:59,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:18:11,WARNING,EC_Sensor,228.35
2025-09-19 12:18:11,WARNING,PH_Sensor,1.21
2025-09-19 12:18:11,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:18:25,WARNING,EC_Sensor,228.35
2025-09-19 12:18:25,WARNING,PH_Sensor,1.21
2025-09-19 12:18:25,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:18:35,WARNING,EC_Sensor,228.35
2025-09-19 12:18:35,WARNING,PH_Sensor,1.21
2025-09-19 12:18:35,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:18:41,WARNING,EC_Sensor,228.35
2025-09-19 12:18:41,WARNING,PH_Sensor,1.21
2025-09-19 12:18:41,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:18:43,WARNING,EC_Sensor,228.35
2025-09-19 12:18:43,WARNING,PH_Sensor,1.21
2025-09-19 12:18:43,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:18:43,WARNING,EC_Sensor,228.35
2025-09-19 12:18:43,WARNING,PH_Sensor,1.21
2025-09-19 12:18:43,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:18:47,WARNING,EC_Sensor,228.35
2025-09-19 12:18:47,WARNING,PH_Sensor,1.21
2025-09-19 12:18:47,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:18:57,WARNING,EC_Sensor,228.35
2025-09-19 12:18:57,WARNING,PH_Sensor,1.21
2025-09-19 12:18:57,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:18:57,INFO,Fan,offline
2025-09-19 12:18:57,INFO,Light,online
2025-09-19 12:18:57,INFO,Pump,offline
2025-09-19 12:18:57,INFO,FlowRate_Sensor,offline
2025-09-19 12:19:13,WARNING,EC_Sensor,228.35
2025-09-19 12:19:13,WARNING,PH_Sensor,1.21
2025-09-19 12:19:13,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:20:39,WARNING,EC_Sensor,228.35
2025-09-19 12:20:39,WARNING,PH_Sensor,1.23
2025-09-19 12:20:39,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:21:04,WARNING,EC_Sensor,228.35
2025-09-19 12:21:04,WARNING,PH_Sensor,1.22
2025-09-19 12:21:04,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:21:22,WARNING,EC_Sensor,228.35
2025-09-19 12:21:22,WARNING,PH_Sensor,1.24
2025-09-19 12:21:22,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:21:35,WARNING,EC_Sensor,228.35
2025-09-19 12:21:35,WARNING,PH_Sensor,1.22
2025-09-19 12:21:35,WARNING,Ultrasonic_Sensor,0.0
